All_GPU,32,0.071709,0.029397,0.177338
All_GPU,48,0.070889,0.029886,0.173668
All_GPU,64,0.058213,0.029414,0.151476
All_GPU,128,0.067751,0.029418,0.151682
All_GPU,238,0.058158,0.029505,0.151494
All_GPU,512,0.067529,0.029403,0.151453
All_GPU,1024,0.065913,0.029409,0.151611
Transpose,32,0.322194,0.265784,0.607606
Transpose,48,0.318685,0.275529,0.510358
Transpose,64,0.310321,0.267868,0.494338
Transpose,128,0.313572,0.269502,0.497130
Transpose,238,0.322698,0.269907,0.591458
Transpose,512,0.311173,0.268780,0.493762
Transpose,1024,0.320564,0.266628,0.593709
Naive,32,0.478492,0.336887,0.808724
Naive,48,0.470452,0.328063,0.797345
Naive,64,0.468685,0.325518,0.718450
Naive,128,0.468244,0.328271,0.730303
Naive,238,0.469732,0.329789,0.733552
Naive,512,0.467274,0.323712,0.713265
Naive,1024,0.464899,0.321020,0.699843
Shmem,32,0.305432,0.267640,0.627567
Shmem,48,0.334897,0.274905,0.613798
Shmem,64,0.301022,0.264811,0.601601
Shmem,128,0.302312,0.268782,0.593850
Shmem,238,0.302909,0.268925,0.593063
Shmem,512,0.301232,0.267277,0.596525
Shmem,1024,0.321740,0.268473,0.598159
Transpose,32,0.359004,0.303657,0.565282
Transpose,48,0.396596,0.312113,0.648784
Transpose,64,0.334516,0.298651,0.628893
Transpose,128,0.352881,0.299004,0.524973
Transpose,238,0.385475,0.301011,0.630552
Transpose,512,0.332116,0.297563,0.623939
Transpose,1024,0.355099,0.301964,0.528122
All_GPU,32,0.055750,0.029662,0.037142
All_GPU,48,0.050001,0.030416,0.037274
All_GPU,64,0.046464,0.029725,0.032004
All_GPU,128,0.046371,0.029662,0.031907
All_GPU,32,0.049789,0.031481,0.037480
All_GPU,48,0.049931,0.030420,0.037561
All_GPU,64,0.046492,0.029704,0.032362
All_GPU,128,0.046498,0.029664,0.032032
All_GPU,32,0.050157,0.031571,0.037734
All_GPU,48,0.050048,0.030441,0.037810
All_GPU,64,0.046707,0.029736,0.032162
All_GPU,128,0.053310,0.029643,0.032224
All_GPU,238,0.046799,0.029840,0.032341
All_GPU,512,0.046369,0.029676,0.032719
All_GPU,1024,0.046523,0.029714,0.032140
